# 
#     *****************************************************************************
#     ***         MC-GPU, version 1.3 (http://code.google.com/p/mcgpu/)         ***
#     ***                                                                       ***
#     ***                     Andreu Badal (Andreu.Badal-Soler@fda.hhs.gov)     ***
#     *****************************************************************************
# 
#  *** SIMULATION IN THE GPU USING CUDA ***
#
#  Image created counting the energy arriving at each pixel: ideal energy integrating detector.
#  Pixel value units: eV/cm^2 per history (energy fluence).
#  Focal spot position = (15.00000000,-45.00000000,15.00000000), cone beam direction = (0.00000000,1.00000000,0.00000000)
#  Pixel size:  0.300000 x 0.300000 = 0.090000 cm^2
#  Number of pixels in X and Z:  300  300
#  (X rows given first, a blank line separates the different Z values)
# 
#  [NON-SCATTERED] [COMPTON] [RAYLEIGH] [MULTIPLE-SCATTING]
# ==========================================================
0.00000000 0.07646560 0.01999872 0.12116828
0.00000000 0.09584978 0.00000000 0.16481448
0.00000000 0.10596750 0.00000000 0.11182288
0.00000000 0.16354475 0.01999872 0.17788917
0.00000000 0.09384916 0.00000000 0.11469301
0.00000000 0.08630615 0.00999936 0.11953846
0.00000000 0.23728330 0.00999936 0.11830709
0.00000000 0.13220828 0.01999872 0.08547685
0.00000000 0.10578875 0.00000000 0.11324752
0.00000000 0.08655029 0.01999872 0.10847782
0.00000000 0.11452758 0.01999872 0.13942606
0.00000000 0.13311482 0.00000000 0.11238376
0.00000000 0.09625966 0.00000000 0.16449203
0.00000000 0.17183423 0.00999936 0.10787744
0.00000000 0.14156791 0.00000000 0.05825376
0.00000000 0.11500542 0.00000000 0.13013180
0.00000000 0.13499049 0.01999872 0.15606650
0.00000000 0.12358799 0.01999872 0.09519794
0.00000000 0.10502453 0.00999936 0.19726550
0.00000000 0.19053245 0.01999872 0.12419381
0.00000000 0.09514712 0.01999872 0.16013947
0.00000000 0.15376662 0.00999936 0.09502781
0.00000000 0.08660566 0.00000000 0.11926871
0.00000000 0.07637355 0.01999872 0.07499944
0.00000000 0.14274849 0.01999872 0.09792846
0.00000000 0.10509568 0.00999936 0.13445697
0.00000000 0.17118767 0.01999872 0.13443603
0.00000000 0.20929264 0.00000000 0.17230685
0.00000000 0.14258893 0.01999872 0.15960484
0.00000000 0.15229751 0.01999872 0.12928296
0.00000000 0.08618161 0.02999808 0.10874097
0.00000000 0.16386355 0.00999936 0.11481814
0.00000000 0.15283328 0.00000000 0.12577761
0.00000000 0.08513219 0.00000000 0.09026384
0.00000000 0.21955256 0.00000000 0.15007876
0.00000000 0.07708488 0.01999872 0.13370922
0.00000000 0.18164067 0.00000000 0.19149255
0.00000000 0.18950998 0.00999936 0.13151535
0.00000000 0.11610213 0.01999872 0.07688409
0.00000000 0.14238033 0.00999936 0.15750116
0.00000000 0.16004068 0.01999872 0.16931788
0.00000000 0.13337812 0.02999808 0.14201307
0.00000000 0.14484543 0.01999872 0.19256838
0.00000000 0.24021722 0.00000000 0.12318865
0.00000000 0.14291079 0.00000000 0.13738481
0.00000000 0.15374673 0.00000000 0.15852397
0.00000000 0.19155482 0.01999872 0.16375448
0.00000000 0.21192801 0.00999936 0.10871347
0.00000000 0.18232101 0.00999936 0.16205821
0.00000000 0.20015127 0.00999936 0.13639501
0.00000000 0.16420190 0.00999936 0.12863238
0.00000000 0.14332573 0.00999936 0.15786906
0.00000000 0.21163709 0.00000000 0.11411419
0.00000000 0.16323728 0.01999872 0.14671467
0.00000000 0.12567236 0.03999744 0.16634823
0.00000000 0.17158781 0.00999936 0.15249652
0.00000000 0.13471195 0.00999936 0.08216721
0.00000000 0.14336900 0.00999936 0.16784751
0.00000000 0.17409841 0.00999936 0.18627758
0.00000000 0.14305029 0.01999872 0.09040715
0.00000000 0.14638575 0.01999872 0.12878997
0.00000000 0.21126157 0.00999936 0.27418828
0.00000000 0.18121203 0.00999936 0.17123234
0.00000000 0.17140778 0.02999808 0.14598370
0.00000000 0.16337493 0.01999872 0.25957679
0.00000000 0.24866070 0.00999936 0.17054453
0.00000000 0.14512083 0.03999744 0.11376649
0.00000000 0.21133534 0.01999872 0.14123244
0.00000000 0.23039362 0.00000000 0.14362538
0.00000000 0.18295651 0.00000000 0.17196947
0.00000000 0.19246038 0.00999936 0.14529398
0.00000000 0.17268424 0.00000000 0.10927123
0.00000000 0.25874809 0.00999936 0.13621432
0.00000000 0.19453072 0.00999936 0.22045622
0.00000000 0.26021911 0.00000000 0.15819189
0.00000000 0.18266256 0.00000000 0.26136521
0.00000000 0.17235964 0.00000000 0.15937670
0.00000000 0.22143483 0.04999680 0.15374693
0.00000000 0.21165987 0.00999936 0.11804069
0.00000000 0.23918804 0.00000000 0.15894638
0.00000000 0.21042398 0.02999808 0.16414579
0.00000000 0.25107916 0.00000000 0.19244349
0.00000000 0.13611127 0.00999936 0.19681607
0.00000000 0.22169591 0.00999936 0.17188845
0.00000000 0.23908102 0.00999936 0.12860177
0.00000000 0.23074140 0.00000000 0.12368925
0.00000000 0.27032685 0.02999808 0.16167510
0.00000000 0.25044264 0.00000000 0.20322251
0.00000000 0.12555506 0.02999808 0.17952456
0.00000000 0.19234606 0.02999808 0.18378118
0.00000000 0.25005144 0.01999872 0.17893388
0.00000000 0.16260814 0.00999936 0.18576682
0.00000000 0.24085893 0.00999936 0.20779035
0.00000000 0.16513671 0.02999808 0.26528199
0.00000000 0.18365784 0.02999808 0.22782929
0.00000000 0.15562626 0.01999872 0.19339494
0.00000000 0.27148329 0.01999872 0.20662032
0.00000000 0.18361001 0.02999808 0.23974407
0.00000000 0.22344247 0.00999936 0.18056246
0.00000000 0.22079410 0.02999808 0.23642852
0.00000000 0.15493835 0.00999936 0.19069528
0.00000000 0.25972787 0.00999936 0.16626141
0.00000000 0.22256711 0.02999808 0.17837768
0.00000000 0.25184014 0.00999936 0.17480663
0.00000000 0.24214757 0.01999872 0.19476387
0.00000000 0.29034779 0.02999808 0.22253002
0.00000000 0.27142975 0.02999808 0.18883605
0.00000000 0.23314566 0.03999744 0.18605967
0.00000000 0.27020860 0.00999936 0.22617144
0.00000000 0.33750941 0.01999872 0.18135291
0.00000000 0.27183002 0.02999808 0.24892199
0.00000000 0.22190667 0.01999872 0.17918374
0.00000000 0.21345095 0.00000000 0.15869200
0.00000000 0.23234268 0.02999808 0.22748255
0.00000000 0.22171055 0.02999808 0.23394705
0.00000000 0.29711842 0.02999808 0.10217162
0.00000000 0.18423994 0.02999808 0.21755760
0.00000000 0.22029909 0.00000000 0.12564056
0.00000000 0.25097330 0.03999744 0.16198790
0.00000000 0.29209952 0.03999744 0.20630685
0.00000000 0.28021816 0.00000000 0.20687007
0.00000000 0.25194642 0.02999808 0.18927752
0.00000000 0.28938925 0.01999872 0.31831688
0.00000000 0.26090724 0.01999872 0.24281089
0.00000000 0.26026038 0.00999936 0.20862252
0.00000000 0.32814455 0.00999936 0.25697328
0.00000000 0.26262885 0.02999808 0.25297326
0.00000000 0.24276966 0.00000000 0.19448322
0.00000000 0.18292734 0.00000000 0.17856931
0.00000000 0.24212658 0.00999936 0.17125720
0.00000000 0.24258928 0.00000000 0.22864775
0.00000000 0.19556420 0.01999872 0.22942352
0.00000000 0.30919363 0.00999936 0.14781153
0.00000000 0.28062337 0.02999808 0.25313847
0.00000000 0.19378379 0.00999936 0.31799299
0.00000000 0.29188175 0.03999744 0.22218451
0.00000000 0.25918807 0.00999936 0.27298758
0.00000000 0.28203282 0.01999872 0.25327127
0.00000000 0.32912955 0.02999808 0.30166407
0.00000000 0.26150335 0.03999744 0.20104169
0.00000000 0.28010833 0.00999936 0.24213282
0.00000000 0.27860040 0.00999936 0.19150027
0.00000000 0.26135536 0.02999808 0.19996072
0.00000000 0.35802027 0.02999808 0.21092287
0.00000000 0.21398841 0.04999680 0.23377138
0.00000000 0.20298733 0.00999936 0.21570402
0.00000000 0.31955291 0.03999744 0.17412151
0.00000000 0.27184604 0.01999872 0.23303404
0.00000000 0.25180141 0.01999872 0.19009583
0.00000000 0.27242407 0.05999616 0.19310181
0.00000000 0.21169530 0.04999680 0.18847054
0.00000000 0.20307575 0.04999680 0.25785035
0.00000000 0.31762382 0.01999872 0.19835949
0.00000000 0.35640188 0.03999744 0.15120758
0.00000000 0.29238724 0.02999808 0.19064446
0.00000000 0.19348338 0.02999808 0.15518322
0.00000000 0.24081957 0.01999872 0.21408460
0.00000000 0.31952342 0.02999808 0.22373580
0.00000000 0.28211041 0.00999936 0.16717600
0.00000000 0.23254561 0.02999808 0.24719846
0.00000000 0.29266637 0.00999936 0.13891937
0.00000000 0.21442373 0.03999744 0.24339277
0.00000000 0.29981751 0.01999872 0.16991860
0.00000000 0.26097383 0.01999872 0.24875177
0.00000000 0.31793456 0.00000000 0.22830889
0.00000000 0.28971701 0.01999872 0.25242706
0.00000000 0.32669766 0.01999872 0.18689722
0.00000000 0.30080492 0.00999936 0.25896580
0.00000000 0.23433837 0.00000000 0.22837389
0.00000000 0.27194659 0.01999872 0.21345907
0.00000000 0.20118993 0.00999936 0.18111079
0.00000000 0.27996490 0.00000000 0.23627349
0.00000000 0.32926661 0.02999808 0.32179673
0.00000000 0.27092107 0.00999936 0.27000248
0.00000000 0.28130724 0.00999936 0.19510966
0.00000000 0.27943384 0.01999872 0.23782544
0.00000000 0.28819353 0.05999616 0.17566409
0.00000000 0.31919572 0.01999872 0.16621374
0.00000000 0.23307992 0.00999936 0.20771222
0.00000000 0.30738278 0.00999936 0.23048906
0.00000000 0.34715613 0.00999936 0.17931996
0.00000000 0.25976465 0.00000000 0.18105761
0.00000000 0.18386266 0.02999808 0.22835253
0.00000000 0.30170567 0.01999872 0.22505020
0.00000000 0.26192041 0.04999680 0.20071675
0.00000000 0.23152911 0.00999936 0.21696367
0.00000000 0.24142145 0.00000000 0.19308090
0.00000000 0.23075836 0.01999872 0.26301972
0.00000000 0.28026238 0.00999936 0.18351251
0.00000000 0.28983345 0.01999872 0.22626956
0.00000000 0.16404235 0.00999936 0.18084608
0.00000000 0.26089311 0.00999936 0.20376062
0.00000000 0.34696410 0.02999808 0.20338520
0.00000000 0.37747565 0.00000000 0.17734771
0.00000000 0.28041798 0.02999808 0.19006396
0.00000000 0.26259401 0.03999744 0.18896657
0.00000000 0.26214761 0.00999936 0.27242691
0.00000000 0.30004074 0.01999872 0.16118057
0.00000000 0.25252715 0.00999936 0.16513133
0.00000000 0.25183340 0.00000000 0.22028398
0.00000000 0.36595398 0.00999936 0.21476895
0.00000000 0.20350728 0.05999616 0.16169569
0.00000000 0.29206951 0.04999680 0.20042877
0.00000000 0.28936928 0.00999936 0.17741313
0.00000000 0.14508667 0.01999872 0.21394822
0.00000000 0.26986960 0.00000000 0.16349504
0.00000000 0.25988948 0.00999936 0.17884630
0.00000000 0.21207573 0.02999808 0.13855749
0.00000000 0.32716542 0.02999808 0.21816656
0.00000000 0.27025763 0.02999808 0.15205333
0.00000000 0.26016231 0.00999936 0.20150474
0.00000000 0.35688184 0.01999872 0.16367250
0.00000000 0.21183118 0.00999936 0.19856899
0.00000000 0.16501234 0.01999872 0.17254882
0.00000000 0.15435470 0.01999872 0.20999189
0.00000000 0.33112271 0.01999872 0.13332912
0.00000000 0.24306938 0.00000000 0.22120378
0.00000000 0.29783349 0.01999872 0.17347322
0.00000000 0.28842310 0.06999552 0.12219982
0.00000000 0.30118481 0.03999744 0.18280924
0.00000000 0.24198079 0.01999872 0.18912677
0.00000000 0.19321732 0.02999808 0.15900489
0.00000000 0.23212084 0.02999808 0.25870536
0.00000000 0.17379554 0.00999936 0.22597889
0.00000000 0.35688230 0.00999936 0.18777763
0.00000000 0.19380021 0.01999872 0.16855430
0.00000000 0.27202342 0.00999936 0.18404699
0.00000000 0.19238431 0.03999744 0.25049809
0.00000000 0.19206078 0.02999808 0.19490077
0.00000000 0.20335484 0.01999872 0.10144949
0.00000000 0.15425432 0.00000000 0.15537522
0.00000000 0.24093446 0.03999744 0.06746336
0.00000000 0.27181676 0.00000000 0.14951523
0.00000000 0.24043703 0.00999936 0.19085148
0.00000000 0.27026295 0.03999744 0.16325146
0.00000000 0.21184660 0.01999872 0.16886460
0.00000000 0.19376679 0.00000000 0.14763490
0.00000000 0.19291011 0.00000000 0.12769119
0.00000000 0.21189239 0.00000000 0.09687176
0.00000000 0.20269895 0.00000000 0.10657300
0.00000000 0.28733402 0.01999872 0.19856547
0.00000000 0.24019425 0.01999872 0.10119739
0.00000000 0.16490921 0.01999872 0.15100897
0.00000000 0.20407411 0.00999936 0.21969632
0.00000000 0.24119873 0.01999872 0.15661041
0.00000000 0.19117779 0.01999872 0.14961908
0.00000000 0.18396427 0.03999744 0.18186546
0.00000000 0.20117532 0.00000000 0.13188044
0.00000000 0.18251286 0.00000000 0.12640249
0.00000000 0.15581830 0.00000000 0.16546385
0.00000000 0.19106638 0.01999872 0.20969319
0.00000000 0.19292139 0.00000000 0.09967120
0.00000000 0.19220945 0.01999872 0.10681301
0.00000000 0.12582093 0.00000000 0.14612790
0.00000000 0.18274292 0.00000000 0.14110496
0.00000000 0.15437855 0.00999936 0.10565132
0.00000000 0.20157045 0.00999936 0.15853642
0.00000000 0.22294017 0.00000000 0.11862585
0.00000000 0.19266106 0.00000000 0.10734057
0.00000000 0.23058142 0.02999808 0.11181569
0.00000000 0.23066330 0.00999936 0.11419239
0.00000000 0.19392279 0.00999936 0.07493025
0.00000000 0.17395001 0.02999808 0.19176797
0.00000000 0.20094117 0.00999936 0.09906839
0.00000000 0.23066845 0.02999808 0.12425130
0.00000000 0.14287846 0.00999936 0.12255720
0.00000000 0.19341963 0.01999872 0.14091088
0.00000000 0.17211977 0.02999808 0.15698584
0.00000000 0.26018610 0.00999936 0.07635855
0.00000000 0.27984274 0.02999808 0.14641547
0.00000000 0.18217852 0.01999872 0.14873666
0.00000000 0.14438342 0.01999872 0.09894507
0.00000000 0.20003803 0.00999936 0.09379765
0.00000000 0.18038022 0.01999872 0.09826430
0.00000000 0.10600034 0.00999936 0.12862022
0.00000000 0.19093755 0.00000000 0.10694532
0.00000000 0.22988947 0.00999936 0.10183550
0.00000000 0.12466950 0.00999936 0.08924731
0.00000000 0.20316352 0.00999936 0.05130325
0.00000000 0.13530184 0.00000000 0.16066146
0.00000000 0.24900671 0.00000000 0.09620265
0.00000000 0.19195788 0.00000000 0.12159842
0.00000000 0.16112232 0.00000000 0.15947109
0.00000000 0.21954608 0.00999936 0.10728514
0.00000000 0.27823732 0.01999872 0.09924000
0.00000000 0.16246548 0.00000000 0.14151239
0.00000000 0.09593385 0.00000000 0.16758863
0.00000000 0.19135016 0.00999936 0.12427852
0.00000000 0.22951009 0.00000000 0.10043273
0.00000000 0.17298022 0.04999680 0.06590266
0.00000000 0.17202328 0.00000000 0.14933395
0.00000000 0.10340005 0.00999936 0.15118191
0.00000000 0.11480989 0.00000000 0.12851199
0.00000000 0.14300679 0.00999936 0.05787331
0.00000000 0.11455917 0.00999936 0.08157510
0.00000000 0.15219191 0.00000000 0.14412708
0.00000000 0.17032630 0.00000000 0.09023123
0.00000000 0.18144324 0.00999936 0.11637778
0.00000000 0.14375923 0.00000000 0.14389452
0.00000000 0.16242511 0.00000000 0.11204809

0.00000000 0.08395058 0.00000000 0.11519602
